episode,Name,First Aired,Runtime,
S05E36,SpongeHenge,23-Nov-07,10,
S05E37,"20,000 Patties Under the Sea",23-Nov-07,10,
S05E38,Stanley S. SquarePants ,23-Nov-07,10,
S05E39,To Save a Squirrel ,23-Nov-07,10,
S06E01,Krabby Road,3-Mar-08,10,
S06E02,Not Normal,4-Mar-08,10,
S06E03,Gone,5-Mar-08,10,
S06E04,Suction Cup Symphony,6-Mar-08,10,
S06E05,Penny Foolish,7-Mar-08,10,
S06E06,Nautical Novice,29-Mar-08,10,
S06E07,Spongicus,29-Mar-08,10,
S06E08,The Splinter,2-Jun-08,10,
S06E09,Giant Squidward,3-Jun-08,10,
S06E10,A Life in a Day,4-Jun-08,10,
S06E11,Sun Bleached,5-Jun-08,10,
S06E12,House Fancy,6-Jun-08,10,
S06E13,No Nose Knows,4-Aug-08,10,
S06E14,Patty Caper,5-Aug-08,10,
S06E15,Plankton's Regular,6-Aug-08,10,
S06E16,Boating Buddies,7-Aug-08,10,
S06E17,The Krabby Kronicle,8-Aug-08,10,
S06E18,The Slumber Party,28-Nov-08,10,
S06E19,Grooming Gary,28-Nov-08,10,
S06E20,Porous Pockets,28-Nov-08,10,
S06E21,Krusty Krushers,28-Nov-08,10,
S06E22,The Card,28-Nov-08,10,
S06E23,Ditchin',28-Nov-08,10,
S06E24,Dear Vikings,28-Nov-08,10,
S06E25,Shuffleboarding,16-Feb-09,10,
S06E26,Slide Whistle Stooges,16-Feb-09,10,
S06E27,Cephalopod Lodge,17-Feb-09,10,
S06E28,Grandpappy the Pirate,18-Feb-09,10,
S06E29,Professor Squidward,19-Feb-09,10,
S06E30,Sand Castles in the Sand,16-Mar-09,10,
S06E31,Toy Store of Doom,17-Mar-09,10,
S06E32,Pet or Pests,18-Mar-09,10,
S06E33,Komputer Overload,19-Mar-09,10,
S06E34,Choir Boys ,20-Mar-09,10,
S07E01,Shell Shocked,1-Jun-09,10,
S07E02,Pineapple Fever,2-Jun-09,10,
S07E03,Single Cell Anniversary ,3-Jun-09,10,
S07E04,Squid's Visit,4-Jun-09,10,
S07E05,Gullible Pants,5-Jun-09,10,
S07E06,To SquarePants or Not to SquarePants,17-Jul-09,10,
S07E07,Chum Caverns,18-Jul-09,10,
S07E08,I Heart Dancing,19-Jul-09,10,
S07E09,Goo Goo Gas,19-Jul-09,10,
